law_id,type,title,kana,effective_date
212M10001000052,府省令,大正十二年逓信省令第五十二号（船舶積量互認ノ件ニ関シ帝国政府ト英国政府トノ間ニ取極ヲ為シタル条規）,せんぱくせきりょうごにんのけんにかんしていこくせいふとえいこくせいふとのあいだにとりきめをなしたるじょうき,大正十二年六月二十日
213IO0000000017,勅令,大正十三年勅令第十七号（米貨公債及英貨公債ノ発行ニ関スル件）,べいかこうさいきゅうえいかこうさいのはっこうにかんするけん,大正十三年二月十三日
213M10000040003,府省令,六分半利付米貨公債発行規程,ろくぶはんりつきべいかこうさいはっこうきてい,昭和三十年十月一日
213M10000040004,府省令,六分利付英貨公債発行規程,ろくぶりつきえいかこうさいはっこうきてい,昭和二十七年十一月二十四日
214AC0000000009,法律,漁業財団抵当法,ぎょぎょうざいだんていとうほう,令和二年十二月一日
214AC0000000042,法律,外国人土地法,がいこくじんとちほう,大正十五年十一月十日
214M10001000087,府省令,大正十四年逓信省令第八十七号（仏蘭西国船舶ノ検査ニ関スル件）,ふらんすくにせんぱくのけんさにかんするけん,昭和二十年五月十九日
215AC0000000060,法律,大正十五年法律第六十号（暴力行為等処罰ニ関スル法律）,ぼうりょくこういとうしょばつにかんするほうりつ,令和七年六月一日
215AC0000000062,法律,民事訴訟法中改正法律施行法,みんじそしょうほうなかかいせいほうりつしこうほう,昭和四年十月一日
215IO0000000243,勅令,健康保険法施行令,けんこうほけんほうしこうれい,令和八年四月一日
215IO0000000325,勅令,位階令,いかいれい,令和七年六月一日
215M10000001006,府省令,位階令施行細則,いかいれいしこうさいそく,令和七年六月一日
215M10000008036,府省令,健康保険法施行規則,けんこうほけんほうしこうきそく,令和八年四月一日
215M10001000024,府省令,大正十五年逓信省令第二十四号（船舶満載吃水線証書互認ノ件ニ関シ帝国政府ト丁抹国政府トノ間ニ為シタル取極ニ関スル件）,せんぱくまんさいきっすいせんしょうしょごにんのけんにかんしていこくせいふとでんまーくこくせいふとのかんにためしたるしゅきょくにかんするけん,大正十五年八月一日
302AC0000000055,法律,日本銀行特別融通及損失補償法,にほんぎんこうとくべつゆうづうおよびそんしつほしょうほう,平成十三年一月六日
302IO0000000263,勅令,北海道国有未開地処分法施行規則,ほっかいどうこくゆうみかいちしょぶんほうしこうきそく,昭和八年六月十七日
302M10000010016,府省令,陪審法施行規則,ばいしんほうしこうきそく,昭和十六年三月二十九日
302M10000040012,府省令,日本銀行特別融通及損失補償法第一条ニ依ル特別融通ニ関スル規程,にほんぎんこうとくべつゆうづうきゅうそんしつほしょうほうだいいちじょうによるとくべつゆうづうにかんするきてい,昭和二十年七月二十四日
303IO0000000188,勅令,昭和三年勅令第百八十八号（大礼記念章制定ノ件）,たいれいきねんしょうせいていのけん,昭和三年八月一日
304M10001000017,府省令,昭和四年逓信省令第十七号（船舶積量ニ関シ独逸国船舶取扱ニ関スル件）,せんぱくせきりょうにかんしどいつこくせんぱくとりあつかいにかんするけん,昭和四年六月一日
305AC0000000009,法律,昭和五年法律第九号（盗犯等ノ防止及処分ニ関スル法律）,とうはんとうのぼうしおよびしょぶんにかんするほうりつ,令和七年六月一日
305IO0000000036,勅令,昭和五年勅令第三十六号（高等師範学校専攻科卒業者ノ称号ニ関スル件）,こうとうしはんがっこうせんこうかそつぎょうしゃのしょうごうにかんするけん,昭和五年三月六日
305IO0000000148,勅令,帝都復興記念章令,ていとふっこうきねんしょうれい,昭和五年八月十三日
305M10000040009,府省令,五分半利付英貨公債発行規程,ごぶはんりつきえいかこうさいはっこうきてい,昭和二十七年十一月二十四日
305M10001800000,府省令,鉄道船舶通シ運送規則,てつどうせんぱくとおしうんそうきそく,令和元年六月二十八日
306AC0000000008,法律,昭和六年法律第八号（特別会計ノ恩給負担金ヲ一般会計ニ繰入ルルコトニ関スル法律）,とくべつかいけいのおんきゅうふたんきんをいっぱんかいけいにくりいるることにかんするほうりつ,昭和六年三月二十八日
306AC0000000009,法律,昭和六年法律第九号（特別会計ニ於ケル営繕費ニ関スル法律）,とくべつかいけいにおけるえいぜんひにかんするほうりつ,昭和二十二年三月三十一日
306AC0000000015,法律,抵当証券法,ていとうしょうけんほう,令和五年四月一日
306AC0000000042,法律,無尽業法,むじんぎょうほう,令和十年六月十三日
306IO0000000203,勅令,昭和六年勅令第二百三号（特別会計ノ恩給負担金ヲ一般会計ニ繰入ルルコトニ関スル法律ノ施行ニ関スル件）,とくべつかいけいのおんきゅうふたんきんをいっぱんかいけいにくりいるることにかんするほうりつのしこうにかんするけん,平成二十六年五月三十日
